Schedule,Num threads,Type of parallelism,With/Without barriers,Execution time (s),Best path length,Speedup
Dynamic,1,Data,With,1.2117,7804.08,1
Dynamic,2,Data,With,0.67105,8049.65,1.805658628
Dynamic,4,Data,With,0.40214,7877.32,3.013117485
Dynamic,8,Data,With,0.43883,7850.25,2.761191819
Static,1,Data,With,1.2279,7804.08,1
Static,2,Data,With,0.65518,8258.46,1.874084227
Static,4,Data,With,0.4005,7939.23,3.065689604
Static,8,Data,With,0.4427,7896.98,2.773468558
Guided,1,Data,With,1.2216,7804.08,1
Guided,2,Data,With,0.67910,7892.57,1.798847291
Guided,4,Data,With,0.4001,7650.19,3.053135388
Guided,8,Data,With,0.44050,7786.02,2.773164375
Dynamic,1,Data,Without,1.252,7804.08,1
Dynamic,2,Data,Without,0.65584,8452.12,1.909474182
Dynamic,4,Data,Without,0.37698,7870.78,3.321953329
Dynamic,8,Data,Without,0.41319,7924.98,3.030801736
Static,1,Data,Without,1.2574,7804.08,1
Static,2,Data,Without,0.67390,7891.67,1.865896221
Static,4,Data,Without,0.39256,7781.75,3.203136344
Static,8,Data,Without,0.39598,7726.36,3.175455388
Guided,1,Data,Without,1.2625,7804.08,1
Guided,2,Data,Without,0.67538,7958.15,1.869371704
Guided,4,Data,Without,0.38034,7875.15,3.319477419
Guided,8,Data,Without,0.3917,7729.26,3.223561252
N/A,1,Task,Without,2.8024,7804.08,1
N/A,2,Task,Without,1.8535,8095.85,1.511961413
N/A,4,Task,Without,1.6208,7888.21,1.728955356
N/A,8,Task,Without,4.2364,7729.26,0.6614924866
N/A,1,Task,Without,2.8214,7804.08,1
N/A,2,Task,Without,1.8437,7946.5,1.530312153
N/A,4,Task,Without,1.5499,7822.59,1.820314466
N/A,8,Task,Without,4.525,7842.95,0.4074184566
