Schedule,Num threads,Type of parallelism,With/Without barriers,Execution time (s),Best path length,Speedup
Dynamic,1,Data,With,12.1168,7704.08,1
Dynamic,2,Data,With,6.71046,7949.65,1.805658628
Dynamic,4,Data,With,4.02135,7777.32,3.013117485
Dynamic,8,Data,With,4.38825,7750.25,2.761191819
Static,1,Data,With,12.2787,7704.08,1
Static,2,Data,With,6.55184,8158.46,1.874084227
Static,4,Data,With,4.0052,7839.23,3.065689604
Static,8,Data,With,4.4272,7796.98,2.773468558
Guided,1,Data,With,12.2159,7704.08,1
Guided,2,Data,With,6.79096,7792.57,1.798847291
Guided,4,Data,With,4.0011,7550.19,3.053135388
Guided,8,Data,With,4.40504,7686.02,2.773164375
Dynamic,1,Data,Without,12.523,7704.08,1
Dynamic,2,Data,Without,6.55835,8352.12,1.909474182
Dynamic,4,Data,Without,3.76977,7770.78,3.321953329
Dynamic,8,Data,Without,4.13191,7824.98,3.030801736
Static,1,Data,Without,12.5742,7704.08,1
Static,2,Data,Without,6.73896,7791.67,1.865896221
Static,4,Data,Without,3.92559,7681.75,3.203136344
Static,8,Data,Without,3.95981,7626.36,3.175455388
Guided,1,Data,Without,12.6254,7704.08,1
Guided,2,Data,Without,6.75382,7858.15,1.869371704
Guided,4,Data,Without,3.80343,7775.15,3.319477419
Guided,8,Data,Without,3.9166,7629.26,3.223561252
N/A,1,Task,Without,28.0236,7704.08,1
N/A,2,Task,Without,18.5346,7995.85,1.511961413
N/A,4,Task,Without,16.2084,7788.21,1.728955356
N/A,8,Task,Without,42.3642,7629.26,0.6614924866
N/A,1,Task,Without,28.2136,7704.08,1
N/A,2,Task,Without,18.4365,7846.5,1.530312153
N/A,4,Task,Without,15.4993,7722.59,1.820314466
N/A,8,Task,Without,45.252,7742.95,0.4074184566
